ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Dt_Customer_new,Age,Children,Top_Spent,Total_Spent,Total_Purchases,Preferred_Channel,Total_Visits,Visit_Purchase_Ratio,Cluster,Visit_Purchase_Ratio_log,Visit_Purchase_Ratio_capped,Visit_Purchase_Ratio_Capped
1994,1983,2,3,52247.25135379061,1,0,321,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013-11-15,42,1,MntMeatProducts,19,3,NumStorePurchases,7,2.333325555581481,0,1.2039704709976582,2.333325555581481,2.333325555581481
387,1976,1,3,7500.0,0,0,280,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,2012-11-13,49,0,MntFruits,61,5,NumStorePurchases,8,1.5999968000064002,0,0.9555102142599099,1.5999968000064002,1.5999968000064002
2125,1959,2,2,63033.0,0,0,321,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,2013-11-15,66,0,MntMeatProducts,1102,15,NumStorePurchases,2,0.1333332444445037,1,0.12516306452268267,0.1333332444445037,0.1333332444445037
8180,1952,3,2,59354.0,1,1,321,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,2013-11-15,73,2,MntWines,310,12,NumWebPurchases,6,0.49999958333368055,1,0.4054648303305795,0.49999958333368055,0.49999958333368055
2569,1987,2,3,17323.0,0,0,212,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,2012-10-10,38,0,MntMeatProducts,46,4,NumStorePurchases,8,1.9999950000125002,0,1.0986106220042209,1.9999950000125002,1.9999950000125002
2114,1946,4,4,82800.0,0,0,517,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2012-11-24,79,0,MntWines,1315,25,NumStorePurchases,3,0.1199999520000192,1,0.11332864244987655,0.1199999520000192,0.1199999520000192
9736,1980,2,3,41850.0,1,1,518,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012-12-24,45,2,MntWines,96,6,NumWebPurchases,8,1.333331111114815,0,0.8472969080073851,1.333331111114815,1.333331111114815
4939,1946,2,5,37760.0,0,0,658,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,2012-08-31,79,0,MntFishProducts,317,11,NumStorePurchases,7,0.6363630578517656,1,0.49247613156269954,0.6363630578517656,0.6363630578517656
6565,1949,3,3,76995.0,0,1,591,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,2013-03-28,76,1,MntWines,1782,24,NumWebPurchases,5,0.20833324652781396,2,0.1892419277994753,0.20833324652781396,0.20833324652781396
2278,1985,0,4,33812.0,1,0,62,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,2012-11-03,40,1,MntGoldProds,133,6,NumStorePurchases,6,0.9999983333361112,0,0.6931463472276537,0.9999983333361112,0.9999983333361112
9360,1982,2,3,37040.0,0,0,165,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,2012-08-08,43,0,MntWines,316,11,NumStorePurchases,8,0.7272720661163036,0,0.5465433235932251,0.7272720661163036,0.7272720661163036
5376,1979,2,3,2447.0,1,0,109,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,2013-01-06,46,1,MntMeatProducts,1730,28,NumCatalogPurchases,1,0.03571427295918823,0,0.03509130749600349,0.03571427295918823,0.03571427295918823
1993,1949,4,3,58607.0,0,1,497,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,2012-12-23,76,1,MntWines,972,14,NumStorePurchases,8,0.5714281632655976,1,0.4519848640029493,0.5714281632655976,0.5714281632655976
4047,1954,4,3,65324.0,0,1,219,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,2014-01-11,71,1,MntWines,544,17,NumStorePurchases,4,0.23529397923883574,1,0.21130898162244863,0.23529397923883574,0.23529397923883574
1409,1951,2,5,40689.0,0,1,370,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,2013-03-18,74,1,MntWines,444,13,NumWebPurchases,8,0.6153841420121985,1,0.4795727872217757,0.6153841420121985,0.6153841420121985
7892,1969,2,4,18589.0,0,0,22,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,2013-01-02,56,0,MntMeatProducts,75,6,NumStorePurchases,7,1.1666647222254631,0,0.7731889907986774,1.1666647222254631,1.1666647222254631
2404,1976,2,3,53359.0,1,1,573,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,2013-05-27,49,2,MntWines,257,10,NumWebPurchases,7,0.6999993000007,0,0.5306278392977914,0.6999993000007,0.6999993000007
5255,1986,2,4,52247.25135379061,1,0,413,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,2013-02-20,39,1,MntGoldProds,637,27,NumWebPurchases,1,0.03703702331962099,0,0.03636763094336643,0.03703702331962099,0.03703702331962099
9422,1989,2,3,38360.0,1,0,654,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,2013-05-31,36,1,MntMeatProducts,131,7,NumStorePurchases,3,0.4285708163274053,0,0.35667451536782424,0.4285708163274053,0.4285708163274053
1966,1965,4,3,84618.0,0,0,473,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,2013-11-22,60,0,MntMeatProducts,1672,25,NumStorePurchases,2,0.0799999680000128,2,0.07696101150651011,0.0799999680000128,0.0799999680000128
6864,1989,3,2,10979.0,0,0,462,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,2014-05-22,36,0,MntMeatProducts,30,6,NumWebPurchases,5,0.8333319444467593,0,0.6061350459955337,0.8333319444467593,0.8333319444467593
3033,1963,3,5,38620.0,0,0,226,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-05-11,62,0,MntWines,318,10,NumCatalogPurchases,3,0.2999997000003,1,0.26236403369846445,0.2999997000003,0.2999997000003
5710,1970,2,5,40548.0,0,1,212,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,2012-10-10,55,1,MntWines,120,7,NumStorePurchases,5,0.7142846938790088,0,0.538995905495265,0.7142846938790088,0.7142846938790088
7373,1952,4,2,46610.0,0,2,624,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,2012-10-29,73,2,MntWines,302,11,NumStorePurchases,6,0.5454540495872277,1,0.4353177504024708,0.5454540495872277,0.5454540495872277
8755,1946,3,3,68657.0,0,0,413,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,2013-02-20,79,0,MntWines,1196,17,NumStorePurchases,7,0.41176446366796254,1,0.3448403147231883,0.41176446366796254,0.41176446366796254
10738,1951,3,4,49389.0,1,1,622,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-08-29,74,2,MntWines,65,5,NumStorePurchases,7,1.3999972000056,1,0.875467570688886,1.3999972000056,1.3999972000056
4339,1970,4,3,67353.0,0,1,662,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,2013-12-31,55,1,MntWines,913,23,NumStorePurchases,2,0.08695648393196351,2,0.08338157415645688,0.08695648393196351,0.08695648393196351
10755,1976,0,3,23718.0,1,0,38,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,2013-09-02,49,1,MntGoldProds,81,6,NumWebPurchases,7,1.1666647222254631,0,0.7731889907986774,1.1666647222254631,1.1666647222254631
8595,1973,2,6,42429.0,0,1,221,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,2014-02-11,52,1,MntWines,67,5,NumStorePurchases,5,0.9999980000040001,0,0.6931461805614454,0.9999980000040001,0.9999980000040001
2968,1943,4,2,48948.0,0,0,2,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,2013-02-01,82,0,MntWines,902,22,NumCatalogPurchases,6,0.27272714876038695,1,0.24116195941433022,0.27272714876038695,0.27272714876038695
8601,1980,2,3,80011.0,0,1,614,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,2013-04-29,45,1,MntMeatProducts,1395,19,NumWebPurchases,4,0.21052620498620792,2,0.19105514522957245,0.21052620498620792,0.21052620498620792
503,1985,3,3,20559.0,1,0,244,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,2013-03-12,40,1,MntMeatProducts,53,5,NumStorePurchases,8,1.5999968000064002,0,0.9555102142599099,1.5999968000064002,1.5999968000064002
8430,1957,2,5,21994.0,0,1,518,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,2012-12-24,68,1,MntWines,22,3,NumStorePurchases,5,1.6666611111296294,1,0.9808271696831672,1.6666611111296294,1.6666611111296294
7281,1959,4,4,52247.25135379061,0,0,106,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,2013-11-05,66,0,MntWines,186,8,NumStorePurchases,2,0.24999968750039064,1,0.223143301314491,0.24999968750039064,0.24999968750039064
2139,1975,3,3,7500.0,1,0,40,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,2013-10-02,50,1,MntGoldProds,31,5,NumStorePurchases,5,0.9999980000040001,0,0.6931461805614454,0.9999980000040001,0.9999980000040001
1371,1976,2,4,79941.0,0,0,598,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,2014-06-28,49,0,MntMeatProducts,984,15,NumStorePurchases,1,0.06666662222225185,2,0.06453847947093141,0.06666662222225185,0.06666662222225185
9909,1996,0,3,7500.0,0,0,192,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,2012-11-09,29,0,MntGoldProds,122,7,NumWebPurchases,9,1.2857124489822158,0,0.8266777696138645,1.2857124489822158,1.2857124489822158
7286,1968,2,5,41728.0,1,0,506,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,2013-05-24,57,1,MntMeatProducts,55,4,NumWebPurchases,10,2.499993750015625,0,1.2527611827839522,2.499993750015625,2.499993750015625
7244,1951,2,4,52247.25135379061,2,1,1,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,2014-01-01,74,3,MntWines,124,7,NumStorePurchases,6,0.8571416326548106,1,0.6190385490662886,0.8571416326548106,0.8571416326548106
6566,1954,4,3,72550.0,1,1,169,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,2012-11-08,71,2,MntWines,1319,19,NumStorePurchases,8,0.42105240997241583,2,0.35139773089253945,0.42105240997241583,0.42105240997241583
8614,1957,2,6,65486.0,0,1,249,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,2014-05-12,68,1,MntWines,507,16,NumStorePurchases,2,0.12499992187504883,1,0.11778296621198,0.12499992187504883,0.12499992187504883
4114,1964,3,3,79143.0,0,0,231,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,2012-08-11,61,0,MntMeatProducts,1693,28,NumStorePurchases,3,0.10714281887756469,2,0.10178265974774209,0.10714281887756469,0.10714281887756469
1331,1977,2,4,35790.0,1,0,22,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-01-02,48,1,MntFishProducts,72,5,NumStorePurchases,7,1.3999972000056,0,0.875467570688886,1.3999972000056,1.3999972000056
2225,1977,2,2,82582.0,0,0,142,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,2014-06-07,48,0,MntMeatProducts,1617,20,NumCatalogPurchases,1,0.0499999750000125,2,0.04879014035991981,0.0499999750000125,0.0499999750000125
9381,1978,2,3,66373.0,1,1,250,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,2013-06-12,47,2,MntWines,606,16,NumStorePurchases,3,0.18749988281257324,2,0.1718501582425055,0.18749988281257324,0.18749988281257324
6260,1955,3,5,82384.0,0,0,408,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,2012-11-19,70,0,MntWines,1957,26,NumStorePurchases,1,0.03846152366864474,2,0.037740313737838156,0.03846152366864474,0.03846152366864474
10383,1966,2,2,70287.0,0,0,28,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1,2013-04-02,59,0,MntMeatProducts,1093,20,NumStorePurchases,3,0.1499999250000375,2,0.13976187715779786,0.1499999250000375,0.1499999250000375
7437,1988,2,4,27938.0,1,0,594,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0,2014-04-28,37,1,MntWines,29,5,NumStorePurchases,3,0.5999988000024,0,0.47000287924695433,0.5999988000024,0.5999988000024
8557,1982,2,4,52247.25135379061,1,0,354,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0,2013-06-17,43,1,MntMeatProducts,46,5,NumStorePurchases,6,1.1999976000048,0,0.7884562694567661,1.1999976000048,1.1999976000048
8375,1968,4,3,55954.0,0,1,50,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0,2014-03-03,57,1,MntWines,518,16,NumWebPurchases,7,0.4374997265626709,1,0.36290530347207794,0.4374997265626709,0.4374997265626709
6853,1982,3,4,75777.0,0,0,77,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,2013-07-04,43,0,MntWines,1438,20,NumStorePurchases,1,0.0499999750000125,2,0.04879014035991981,0.0499999750000125,0.0499999750000125
3076,1975,2,5,66653.0,1,1,146,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0,2012-09-07,50,2,MntWines,612,18,NumStorePurchases,3,0.16666657407412552,2,0.1541506004622199,0.16666657407412552,0.16666657407412552
1012,1952,2,4,61823.0,0,1,368,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0,2013-02-18,73,1,MntWines,884,20,NumStorePurchases,7,0.3499998250000875,1,0.30010446282076486,0.3499998250000875,0.3499998250000875
6518,1951,4,6,67680.0,0,1,228,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0,2013-06-11,74,1,MntWines,606,18,NumStorePurchases,5,0.27777762345687584,1,0.24512233726009794,0.27777762345687584,0.27777762345687584
4137,1948,2,5,70666.0,0,0,131,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0,2013-12-06,77,0,MntWines,1076,15,NumWebPurchases,4,0.2666664888890074,1,0.2363886377134369,0.2666664888890074,0.2666664888890074
8082,1971,2,3,25721.0,1,0,439,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1,2013-05-21,54,1,MntGoldProds,34,4,NumStorePurchases,7,1.7499956250109376,0,1.0115993207721008,1.7499956250109376,1.7499956250109376
1386,1967,2,5,32474.0,1,1,227,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-05-11,58,2,MntWines,11,3,NumStorePurchases,7,2.333325555581481,0,1.2039704709976582,2.333325555581481,2.333325555581481
9369,1979,0,4,88194.0,0,1,394,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1,2014-03-19,46,1,MntWines,1274,31,NumWebPurchases,5,0.16129027055152564,2,0.14953168916810983,0.16129027055152564,0.16129027055152564
4477,1958,2,5,69096.0,0,1,581,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0,2013-09-27,67,1,MntWines,653,17,NumStorePurchases,4,0.23529397923883574,1,0.21130898162244863,0.23529397923883574,0.23529397923883574
1357,1970,2,5,74854.0,1,2,158,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0,2013-04-08,55,3,MntWines,1562,12,NumCatalogPurchases,5,0.4166663194447338,2,0.3483064491703508,0.4166663194447338,0.4166663194447338
1402,1954,3,3,66991.0,0,0,233,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0,2012-09-11,71,0,MntWines,1253,18,NumCatalogPurchases,3,0.16666657407412552,1,0.1541506004622199,0.16666657407412552,0.16666657407412552
10629,1973,0,3,52247.25135379061,1,0,296,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0,2012-09-14,52,1,MntMeatProducts,109,6,NumWebPurchases,8,1.333331111114815,0,0.8472969080073851,1.333331111114815,1.333331111114815
6312,1959,2,3,65031.0,0,1,348,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0,2013-03-17,66,1,MntMeatProducts,863,26,NumStorePurchases,7,0.2692306656805132,1,0.23841094185994466,0.2692306656805132,0.2692306656805132
8132,1975,4,3,60631.0,1,1,93,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,2013-04-05,50,2,MntWines,661,19,NumWebPurchases,7,0.36842085872586383,0,0.3136574171547013,0.36842085872586383,0.36842085872586383
1050,1952,2,3,28332.0,0,0,634,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0,2014-04-30,73,0,MntSweetProducts,65,7,NumStorePurchases,2,0.2857138775516035,1,0.25131411082099175,0.2857138775516035,0.2857138775516035
5846,1977,2,2,40246.0,1,0,410,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,2012-12-19,48,1,MntMeatProducts,13,3,NumStorePurchases,6,1.9999933333555555,0,1.0986100664508256,1.9999933333555555,1.9999933333555555
1859,1972,3,3,75251.0,0,0,578,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,2012-08-27,53,0,MntMeatProducts,1890,18,NumWebPurchases,5,0.27777762345687584,2,0.24512233726009794,0.27777762345687584,0.27777762345687584
7503,1976,2,4,75825.0,0,0,257,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1,2012-10-12,49,0,MntWines,2209,22,NumStorePurchases,4,0.1818180991735913,2,0.16705401473312562,0.1818180991735913,0.1818180991735913
10401,1976,0,5,26326.0,0,0,81,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0,2013-09-04,49,0,MntGoldProds,18,3,NumStorePurchases,3,0.9999966666777778,0,0.6931455138974453,0.9999966666777778,0.9999966666777778
1618,1965,2,5,56046.0,0,0,22,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,2013-01-02,60,0,MntWines,692,19,NumWebPurchases,8,0.42105240997241583,1,0.35139773089253945,0.42105240997241583,0.42105240997241583
3332,1985,2,4,29760.0,1,0,621,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0,2012-08-29,40,1,MntMeatProducts,165,8,NumStorePurchases,8,0.9999987500015626,0,0.6931465555605313,0.9999987500015626,0.9999987500015626
2261,1969,2,3,26304.0,1,0,486,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2013-06-23,56,1,MntMeatProducts,16,3,NumStorePurchases,7,2.333325555581481,0,1.2039704709976582,2.333325555581481,2.333325555581481
5346,1973,0,3,23559.0,1,0,57,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0,2013-07-03,52,1,MntWines,79,6,NumWebPurchases,7,1.1666647222254631,0,0.7731889907986774,1.1666647222254631,1.1666647222254631
4119,1963,3,5,38620.0,0,0,226,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,2013-05-11,62,0,MntWines,318,10,NumCatalogPurchases,3,0.2999997000003,1,0.26236403369846445,0.2999997000003,0.2999997000003
535,1987,2,2,81361.0,0,0,523,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0,2014-02-25,38,0,MntMeatProducts,778,26,NumStorePurchases,1,0.03846152366864474,2,0.037740313737838156,0.03846152366864474,0.03846152366864474
5268,1960,2,3,29440.0,1,1,232,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0,2013-08-11,65,2,MntWines,56,5,NumStorePurchases,7,1.3999972000056,1,0.875467570688886,1.3999972000056,1.3999972000056
273,1970,3,3,36138.0,1,1,335,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0,2013-07-16,55,2,MntWines,151,8,NumStorePurchases,7,0.8749989062513672,0,0.6286080760895999,0.8749989062513672,0.8749989062513672
4452,1957,2,4,50388.0,0,1,596,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1,2014-05-28,68,1,MntWines,372,13,NumWebPurchases,7,0.5384611242606736,1,0.43078264686185586,0.5384611242606736,0.5384611242606736
8504,1973,2,3,79593.0,0,0,249,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0,2014-05-12,52,0,MntMeatProducts,1366,18,NumStorePurchases,2,0.11111104938275035,2,0.10536046010230007,0.11111104938275035,0.11111104938275035
771,1967,2,5,54178.0,0,1,433,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0,2014-01-21,58,1,MntWines,194,9,NumStorePurchases,2,0.22222197530891633,1,0.2006704934421532,0.22222197530891633,0.22222197530891633
8996,1957,4,3,52247.25135379061,2,1,408,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0,2012-11-19,68,3,MntWines,603,17,NumStorePurchases,9,0.5294114532873805,1,0.42488299034545557,0.5294114532873805,0.5294114532873805
9235,1957,2,4,52247.25135379061,1,1,574,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,2014-05-27,68,2,MntMeatProducts,18,3,NumStorePurchases,7,2.333325555581481,1,1.2039704709976582,2.333325555581481,2.333325555581481
5798,1973,3,5,52247.25135379061,0,0,496,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0,2013-11-23,52,0,MntWines,985,14,NumStorePurchases,1,0.0714285204081997,2,0.0689928238679367,0.0714285204081997,0.0714285204081997
11178,1972,3,4,42394.0,1,0,481,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0,2014-03-23,53,1,MntWines,32,4,NumStorePurchases,7,1.7499956250109376,0,1.0115993207721008,1.7499956250109376,1.7499956250109376
2230,1970,4,3,23626.0,1,0,507,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0,2014-05-24,55,1,MntWines,43,7,NumWebPurchases,5,0.7142846938790088,0,0.538995905495265,0.7142846938790088,0.7142846938790088
7516,1983,2,3,30096.0,1,0,462,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,2014-05-22,42,1,MntFishProducts,45,5,NumStorePurchases,6,1.1999976000048,0,0.7884562694567661,1.1999976000048,1.1999976000048
7247,1960,2,6,47916.0,0,1,472,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0,2012-11-22,65,1,MntWines,606,17,NumWebPurchases,6,0.3529409688582536,1,0.30228071842032667,0.3529409688582536,0.3529409688582536
11100,1972,2,2,51813.0,1,1,224,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0,2013-04-11,53,2,MntWines,63,5,NumStorePurchases,7,1.3999972000056,0,0.875467570688886,1.3999972000056,1.3999972000056
4646,1951,0,3,78497.0,0,0,21,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,2013-12-01,74,0,MntMeatProducts,978,24,NumStorePurchases,2,0.08333329861112558,1,0.08004267562226722,0.08333329861112558,0.08333329861112558
